recip_state,fips,time,counts_spatial,counts_opt_model,cdc_reported,state_totals
AL,01001,1,1,416,0,75
AL,01001,2,320,686,440,57984
AL,01001,3,1702,1122,1888,298465
AL,01001,4,3786,1818,4880,635996
AL,01001,5,6839,2893,9188,1088214
AL,01001,6,8947,4487,11361,1322453
AL,01001,7,10814,6703,12960,1487588
AL,01001,8,12150,9528,13775,1565096
AL,01001,9,14713,12754,15947,1765294
AL,01001,10,18709,16009,18868,2090806
AL,01001,11,20790,18905,19990,2197549
AL,01001,12,22369,21207,20696,2266861
AL,01001,13,23818,22880,21528,2340996
AL,01001,14,25196,24017,23740,2426408
AL,01001,15,25923,24756,24265,2463862
AL,01001,16,26364,25221,24519,2484952
AL,01001,17,26720,25509,24729,2506023
AL,01001,18,26956,25685,24888,2520369
AL,01003,1,2,2982,0,75
AL,01003,2,2350,5043,2603,57984
AL,01003,3,12765,8414,14674,298465
AL,01003,4,28620,13742,29940,635996
AL,01003,5,51354,21721,45881,1088214
AL,01003,6,65332,32751,54642,1322453
AL,01003,7,74897,46424,63065,1487588
AL,01003,8,78133,61257,66443,1565096
AL,01003,9,86747,75191,79462,1765294
AL,01003,10,101239,86620,94859,2090806
AL,01003,11,104474,94995,99595,2197549
AL,01003,12,106161,100639,103036,2266861
AL,01003,13,108504,104230,106395,2340996
AL,01003,14,111660,106434,110541,2426408
AL,01003,15,112840,107755,111871,2463862
AL,01003,16,113448,108536,112747,2484952
AL,01003,17,114181,108995,113837,2506023
AL,01003,18,114680,109262,114586,2520369
AL,01005,1,1,503,0,75
AL,01005,2,371,795,110,57984
AL,01005,3,1881,1240,965,298465
AL,01005,4,3940,1892,2494,635996
AL,01005,5,6619,2800,3925,1088214
AL,01005,6,7929,3975,4453,1322453
AL,01005,7,8652,5363,5625,1487588
AL,01005,8,8715,6833,6389,1565096
AL,01005,9,9484,8221,7164,1765294
AL,01005,10,10985,9399,8741,2090806
AL,01005,11,11337,10309,9527,2197549
AL,01005,12,11564,10963,10081,2266861
AL,01005,13,11877,11409,10375,2340996
AL,01005,14,12276,11702,10793,2426408
AL,01005,15,12452,11891,11021,2463862
AL,01005,16,12553,12010,11131,2484952
AL,01005,17,12660,12085,11208,2506023
AL,01005,18,12732,12131,11292,2520369
AL,01007,1,1,404,0,75
AL,01007,2,299,640,188,57984
AL,01007,3,1512,997,1293,298465
AL,01007,4,3159,1517,2124,635996
AL,01007,5,5272,2230,3121,1088214
AL,01007,6,6255,3136,3692,1322453
AL,01007,7,6691,4177,4565,1487588
AL,01007,8,6691,5246,4874,1565096
AL,01007,9,7181,6225,5626,1765294
AL,01007,10,8216,7030,6624,2090806
AL,01007,11,8398,7636,6945,2197549
AL,01007,12,8504,8062,7153,2266861
AL,01007,13,8691,8349,7348,2340996
AL,01007,14,8954,8535,7571,2426408
AL,01007,15,9061,8653,7688,2463862
AL,01007,16,9122,8727,7756,2484952
AL,01007,17,9191,8774,7786,2506023
AL,01007,18,9238,8802,7819,2520369
AL,01009,1,1,592,0,75
AL,01009,2,442,948,452,57984
AL,01009,3,2280,1503,2419,298465
AL,01009,4,4879,2343,4203,635996
AL,01009,5,8435,3568,6846,1088214
AL,01009,6,10470,5249,8540,1322453
AL,01009,7,11913,7384,9736,1487588
AL,01009,8,12548,9838,10262,1565096
AL,01009,9,14256,12357,11789,1765294
AL,01009,10,17134,14660,15121,2090806
AL,01009,11,18202,16551,16234,2197549
AL,01009,12,18959,17973,16703,2266861
AL,01009,13,19751,18973,17127,2340996
AL,01009,14,20608,19644,17821,2426408
AL,01009,15,21026,20079,18091,2463862
AL,01009,16,21276,20355,18244,2484952
AL,01009,17,21506,20529,18360,2506023
AL,01009,18,21660,20637,18461,2520369
AL,01011,1,1,107,0,75
AL,01011,2,83,178,193,57984
AL,01011,3,444,293,416,298465
AL,01011,4,997,479,1220,635996
AL,01011,5,1810,766,2309,1088214
AL,01011,6,2371,1189,2653,1322453
AL,01011,7,2850,1767,2899,1487588
AL,01011,8,3171,2486,3108,1565096
AL,01011,9,3779,3276,3448,1765294
AL,01011,10,4717,4036,4323,2090806
AL,01011,11,5149,4682,4547,2197549
AL,01011,12,5455,5172,4649,2266861
AL,01011,13,5741,5515,4826,2340996
AL,01011,14,6022,5741,5150,2426408
AL,01011,15,6161,5884,5280,2463862
AL,01011,16,6242,5972,5370,2484952
AL,01011,17,6312,6026,5405,2506023
AL,01011,18,6358,6058,5455,2520369
AL,01013,1,1,428,0,75
AL,01013,2,318,682,74,57984
AL,01013,3,1617,1066,787,298465
AL,01013,4,3382,1624,1887,635996
AL,01013,5,5636,2384,3604,1088214
AL,01013,6,6648,3333,4130,1322453
AL,01013,7,6967,4399,4504,1487588
